ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,P_18YMAS,P_18YMAS_M,P_18YMAS_F
9,Ciudad de México,8,La Magdalena Contreras,0,Total del municipio,0000,0,189047,88692,100355
9,Ciudad de México,8,La Magdalena Contreras,1,Total de la localidad urbana,0000,0,188216,88264,99952
9,Ciudad de México,8,La Magdalena Contreras,1,Total AGEB urbana,0014,0,1468,650,818
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0014,2,104,51,53
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0014,3,277,122,155
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0014,4,333,144,189
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0014,5,72,32,40
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0014,6,17,9,8
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0014,7,35,17,18
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0014,8,10,4,6
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0014,9,11,5,6
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0014,10,8,*,6
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0014,11,85,36,49
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0014,12,78,34,44
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0014,13,94,46,48
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0014,14,14,6,8
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0014,15,7,3,4
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0014,16,65,23,42
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0014,17,9,5,4
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0014,18,10,5,5
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0014,19,92,34,58
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0014,20,6,*,4
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0014,21,68,29,39
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0014,26,73,41,32
9,Ciudad de México,8,La Magdalena Contreras,1,Total AGEB urbana,0029,0,1120,488,632
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,2,9,*,7
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,3,12,7,5
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,4,96,35,61
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,5,98,51,47
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,6,74,31,43
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,7,88,36,52
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,8,25,10,15
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,9,65,27,38
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,10,37,18,19
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,11,16,6,10
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,12,16,8,8
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,13,38,20,18
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,14,72,34,38
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,15,31,19,12
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,16,54,20,34
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,17,23,10,13
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,18,20,11,9
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,19,6,0,6
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,20,28,9,19
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,21,8,3,5
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,22,9,3,6
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,23,9,3,6
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,24,27,11,16
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,25,95,40,55
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,26,*,*,*
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,27,77,35,42
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,28,0,0,0
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,29,*,*,*
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,30,10,4,6
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,31,9,3,6
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,32,6,3,3
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,33,20,8,12
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,34,5,4,*
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,35,21,11,10
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0029,36,8,3,5
9,Ciudad de México,8,La Magdalena Contreras,1,Total AGEB urbana,0033,0,508,232,276
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0033,1,105,48,57
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0033,2,80,33,47
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0033,3,93,42,51
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0033,4,102,47,55
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0033,5,14,4,10
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0033,6,103,54,49
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0033,7,0,0,0
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0033,12,0,0,0
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0033,13,0,0,0
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0033,16,0,0,0
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0033,17,8,3,5
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0033,18,0,0,0
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0033,19,*,*,*
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0033,26,0,0,0
9,Ciudad de México,8,La Magdalena Contreras,1,Total AGEB urbana,0048,0,2215,970,1245
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0048,1,41,17,24
9,Ciudad de México,8,La Magdalena Contreras,1,La Magdalena Contreras,0048,2,93,38,55
