"CLAVE
ENTIDAD","NOMBRE
ENTIDAD","CLAVE
DISTRITO",CABECERA DISTRITAL,"CLAVE
MUNICIPIO","NOMBRE
MUNICIPIO",SECCION,"PADRON
HOMBRES","PADRON
MUJERES","PADRON
NO BINARIO","PADRON
ELECTORAL","LISTA
HOMBRES","LISTA
MUJERES","LISTA
NO BINARIO","LISTA
NOMINAL",,Manzanas,,LN,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3089,1850,2042,0,3892,1813,2014,0,3827,,1442,,213700,100%
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3118,1722,1946,0,3668,1695,1916,0,3611,,253,17.5%,106850,50%
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3095,1547,1787,0,3334,1527,1762,0,3289,,663,46.0%,170960,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3087,1475,1661,1,3137,1443,1638,1,3082,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3039,1431,1506,0,2937,1404,1488,0,2892,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3090,1362,1477,0,2839,1344,1453,0,2797,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3097,1336,1480,0,2816,1312,1453,0,2765,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3091,1235,1314,0,2549,1214,1295,0,2509,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,5654,1144,1244,0,2388,1116,1223,0,2339,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,5655,1121,1247,0,2368,1107,1227,0,2334,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3040,1121,1207,0,2328,1106,1188,0,2294,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,5656,1106,1200,0,2306,1088,1182,0,2270,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3104,1085,1141,0,2226,1069,1129,0,2198,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3086,1043,1173,0,2216,1030,1155,0,2185,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3068,1019,1168,0,2187,1002,1150,0,2152,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3071,1022,1087,0,2109,1007,1076,0,2083,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3061,947,1130,0,2077,929,1111,0,2040,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3013,985,1067,0,2052,967,1048,0,2015,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3078,961,1078,0,2039,948,1061,0,2009,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3019,957,1078,0,2035,946,1061,0,2007,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,2994,960,1067,0,2027,947,1053,0,2000,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3066,990,1009,0,1999,977,1002,0,1979,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3060,946,1044,0,1990,930,1030,0,1960,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3092,913,1002,0,1915,901,983,0,1884,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3094,906,999,0,1905,896,987,0,1883,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3109,882,1020,0,1902,873,997,0,1870,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3063,870,1026,0,1896,855,1015,0,1870,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3093,857,1014,0,1871,843,1003,0,1846,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3035,870,1009,0,1879,853,993,0,1846,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3016,896,972,0,1868,883,957,0,1840,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3025,875,995,0,1870,858,976,0,1834,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3017,880,971,0,1851,865,966,0,1831,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3062,856,981,0,1837,845,967,0,1812,,,,,
9,CIUDAD DE MEXICO,6,LA MAGDALENA CONTRERAS                            ,8,LA MAGDALENA CONTRERAS,3074,838,991,0,1829,831,975,0,1806,,,,,
