Distrito electoral local,Clave demarcación territorial,Demarcación territorial,Sección electoral,N° de casillas electorales,PAN,PRI,PRD,PVEM,PT,MC,MORENA,CSP,PVEM_PT_MORENA,PAN_PRI_PRD,PAN_PRI,PAN_PRD,PRI_PRD,Votos candidatos no registrados,Votos nulos,Votos totales,Lista nominal
33,8,La Magdalena Contreras,2972,2,201,80,16,0,0,42,0,0,237,4,2,2,1,0,9,594,765
33,8,La Magdalena Contreras,2973,2,201,104,19,0,0,51,0,0,234,21,2,0,0,2,7,641,785
33,8,La Magdalena Contreras,2974,2,195,87,21,0,0,51,0,0,252,13,3,1,0,0,14,637,787
33,8,La Magdalena Contreras,2975,1,153,57,9,0,0,31,0,0,132,8,4,0,0,1,4,399,499
33,8,La Magdalena Contreras,2976,2,226,102,11,0,0,65,0,0,223,25,2,0,0,3,12,669,835
33,8,La Magdalena Contreras,2977,1,250,81,17,0,0,26,0,0,148,22,4,0,0,1,3,552,669
33,8,La Magdalena Contreras,2978,2,252,102,13,0,0,36,0,0,200,20,5,0,0,0,16,644,809
33,8,La Magdalena Contreras,2979,2,194,87,11,0,0,39,0,0,225,18,2,1,1,1,18,597,770
33,8,La Magdalena Contreras,2980,1,322,56,13,0,0,23,0,0,89,15,3,2,0,1,5,529,626
33,8,La Magdalena Contreras,2981,2,438,75,28,0,0,23,0,0,102,11,2,0,0,0,3,682,835
33,8,La Magdalena Contreras,2982,2,625,145,34,0,0,42,0,0,141,21,3,0,1,0,6,1018,1263
33,8,La Magdalena Contreras,2983,2,544,81,22,0,0,22,0,0,63,19,10,1,0,0,5,767,909
33,8,La Magdalena Contreras,2984,2,95,167,24,0,0,70,0,0,421,18,6,0,0,0,22,823,1170
33,8,La Magdalena Contreras,2985,2,95,128,17,0,0,63,0,0,441,13,1,0,2,2,18,780,1098
33,8,La Magdalena Contreras,2986,2,133,140,26,0,0,89,0,0,476,31,6,1,0,0,20,922,1298
33,8,La Magdalena Contreras,2987,2,88,130,19,0,0,55,0,0,415,9,4,0,0,0,23,743,997
