RANK_ESTRATEGICO,SECCION,SUBCONJUNTO,LN_TOTAL,NIVEL_PRIORIDAD_OP,IRE_SCORE,PROB_MIN,PROB_MAX,ES_CERTEZA_SEC,certeza_en_todos,INDICE_RENTABILIDAD,fuerza_morena,PARTICIPACION_2024,fuerza_morena_norm,n_manzanas_sec,PROB_EMP_MZA_BASE
1,-3088,,,P2_ALTA,0.94335,0.6418,1.0,True,False,0.94335,0.3253539629251204,,1.0,46.0,0.061523
2,3095,S1,3289.0,P3_MEDIA,0.7258366666666666,0.3017,1.0,True,False,0.722673,0.4214123006833713,0.6619,,27.0,0.080649
3,3118,S1,3611.0,P3_MEDIA,0.7640333333333333,0.3282,1.0,True,False,0.628211,0.370505617977528,0.6483,,28.0,0.081861
4,3087,S1,3082.0,P3_MEDIA,0.6985066666666667,0.2837,1.0,True,False,0.620594,0.3899474375821288,0.6606,,24.0,0.087313
5,3090,S1,2797.0,P3_MEDIA,0.6608233333333333,0.2558,1.0,True,False,0.538744,0.3684598378776713,0.64,,6.0,0.330412
6,3089,S1,3827.0,P3_MEDIA,0.7827433333333332,0.3595,1.0,True,False,0.536954,0.3305107171209314,0.6465,,35.0,0.067092
7,3104,S1,2198.0,P3_MEDIA,0.5631900000000001,0.1973,1.0,True,False,0.507032,0.3934198331788693,0.6631,,14.0,0.120684
8,3039,S1,2892.0,P3_MEDIA,0.6746166666666668,0.2679,1.0,True,False,0.489955,0.3423360224482638,0.6812,,9.0,0.224872
9,2993,S1,1791.0,P3_MEDIA,0.4761033333333334,0.1612,1.0,True,False,0.476103,0.4226918798665183,0.6713,,14.0,0.102022
10,3071,S1,2083.0,P3_MEDIA,0.5377500000000001,0.192,1.0,True,False,0.469889,0.385645933014354,0.7043,,1.0,1.0
11,2994,S1,2000.0,P3_MEDIA,0.5209166666666667,0.1855,1.0,True,False,0.465142,0.391260162601626,0.6585,,10.0,0.156275
12,3060,S1,1960.0,P3_MEDIA,0.51142,0.1797,1.0,True,False,0.4434,0.3836477987421384,0.7193,,3.0,0.51142
13,5559,S1,1758.0,P3_MEDIA,0.47126,0.1652,1.0,True,False,0.437257,0.4015107495642068,0.6043,,16.0,0.088361
14,3072,S1,1773.0,P3_MEDIA,0.47304,0.163,1.0,True,False,0.433854,0.3983739837398374,0.6597,,,
15,3094,S1,1883.0,P3_MEDIA,0.4959866666666667,0.1728,1.0,True,False,0.433577,0.3857534246575342,0.6926,,11.0,0.135269
16,3091,S1,2509.0,P3_MEDIA,0.6179966666666666,0.2344,1.0,True,False,0.432409,0.3345338135254102,0.7403,,13.0,0.142615
17,3068,S1,2152.0,P3_MEDIA,0.5544366666666666,0.2003,1.0,True,False,0.429211,0.356388088376561,0.6801,,9.0,0.184812
18,3067,S1,1659.0,P3_MEDIA,0.4480733333333333,0.1535,1.0,True,False,0.428383,0.4097914777878513,0.6908,,7.0,0.192031
19,3040,S1,2294.0,P3_MEDIA,0.5787866666666666,0.2102,1.0,True,False,0.426658,0.345531914893617,0.6732,,11.0,0.157851
20,5557,S1,1672.0,P3_MEDIA,0.4523466666666666,0.1529,1.0,True,False,0.424855,0.4048507462686567,0.6499,,11.0,0.123367
21,2992,S1,1709.0,P3_MEDIA,0.4613033333333333,0.1565,1.0,True,False,0.421826,0.3975694444444444,0.6215,,16.0,0.086494
22,3017,S1,1831.0,P3_MEDIA,0.48663,0.1743,1.0,True,False,0.419681,0.3823047515019115,0.6204,,5.0,0.291978
23,3066,S1,1979.0,P3_MEDIA,0.5170166666666667,0.1779,1.0,True,False,0.418645,0.3668367346938775,0.6929,,12.0,0.129254
24,3086,S1,2185.0,P3_MEDIA,0.5590266666666667,0.203,1.0,True,False,0.415173,0.3471502590673575,0.6604,,14.0,0.119791
25,3019,S1,2007.0,P3_MEDIA,0.5228466666666667,0.1861,1.0,True,False,0.41478,0.3620162932790224,0.6578,,13.0,0.120657
26,3109,S1,1870.0,P3_MEDIA,0.4933633333333333,0.1724,1.0,True,False,0.4117,0.3741007194244604,0.6491,,13.0,0.113853
27,3014,S1,1749.0,P3_MEDIA,0.4667366666666667,0.1586,1.0,True,False,0.409019,0.3863892013498313,0.6969,,8.0,0.175026
28,3013,S1,2015.0,P3_MEDIA,0.5246533333333333,0.1821,1.0,True,False,0.40832,0.3575996064928677,0.7068,,16.0,0.098372
29,3016,S1,1840.0,P3_MEDIA,0.4878099999999999,0.1693,1.0,True,False,0.406961,0.374037403740374,0.676,,6.0,0.243905
30,3097,S1,2765.0,P3_MEDIA,0.6574399999999999,0.2563,1.0,True,False,0.400274,0.3078618662747979,0.6293,,31.0,0.063623
31,3015,S1,1689.0,P3_MEDIA,0.45334,0.1522,1.0,True,False,0.399872,0.3880688806888069,0.6648,,7.0,0.194289
32,3069,S1,1670.0,P3_MEDIA,0.4523533333333333,0.1532,1.0,True,False,0.383185,0.3778040141676505,0.7361,,7.0,0.193866
33,3099,S2,1513.0,P3_MEDIA,0.41232,0.1405,0.9452,False,False,0.382366,0.4013651877133106,0.6444,,8.0,0.15462
